ID Customer,Zone,Country,Product,Sales Channel,Priority,Date Order,Order ID,Send Date,units, Unit Price, Unit Cost, Total Sales, Total Cost, Benefit
C8904,Africa,Angola,Flour,Online,Critical,5/13/2020,890496671,6/5/2020,6609,  152.58 € ,  97.44 € ,"  1,008,401.22 € ","  643,980.96 € ",  55.14 € 
C5218,Africa,Zambia,Came,Offline,Critical,5/6/2021,521885192,5/22/2021,6281,  47.45 € ,  31.79 € ,"  298,033.45 € ","  199,672.99 € ",  15.66 € 
C4358,Africa,Kenya,Rice,Offline,High,11/7/2020,435800874,12/25/2020,2018,  154.06 € ,  90.93 € ,"  310,893.08 € ","  183,496.74 € ",  63.13 € 
C1229,Africa,Azerbaijan,Orange,Offline,Critical,10/20/2021,122917544,11/17/2021,2888,  9.33 € ,  6.92 € ,"  26,945.04 € ","  19,984.96 € ",  2.41 € 
C4942,Africa,Mozambique,Lemon,Offline,Critical,10/21/2021,494221532,11/18/2021,9989,  81.73 € ,  56.67 € ,"  816,400.97 € ","  566,076.63 € ",  25.06 € 
C7310,Australia and Oceania,Federated States of Micronesia,Corn,Offline,Critical,4/19/2020,731011664,4/30/2020,1451,  437.20 € ,  263.33 € ,"  634,377.20 € ","  382,091.83 € ",  173.87 € 
C5348,Central America and Caribbean,Dominican Republic,Flour,Offline,Critical,11/3/2022,534899270,11/4/2022,7436,  152.58 € ,  97.44 € ,"  1,134,584.88 € ","  724,563.84 € ",  55.14 € 
C5778,Africa,Libya,Fish,Online,High,7/10/2022,577808177,7/22/2022,5135,  651.21 € ,  524.96 € ,"  3,343,963.35 € ","  2,695,669.60 € ",  126.25 € 
C2519,Asia,Uzbekistan,Fish,Online,Low,6/1/2021,251974713,6/21/2021,3772,  651.21 € ,  524.96 € ,"  2,456,364.12 € ","  1,980,149.12 € ",  126.25 € 
C8199,Asia,Sri Lanka,Lemon,Offline,Medium,7/28/2020,819947707,9/5/2020,9602,  81.73 € ,  56.67 € ,"  784,771.46 € ","  544,145.34 € ",  25.06 € 
C4645,Africa,The Gambia,Corn,Online,Critical,6/8/2021,464588487,7/25/2021,912,  437.20 € ,  263.33 € ,"  398,726.40 € ","  240,156.96 € ",  173.87 € 
C1390,Asia,Myanmar,Flour,Offline,Medium,7/26/2021,139070880,8/4/2021,3019,  152.58 € ,  97.44 € ,"  460,639.02 € ","  294,171.36 € ",  55.14 € 
C4168,Asia,Bhutan,Sorghum,Online,Critical,10/15/2021,416881215,10/21/2021,3270,  109.28 € ,  35.84 € ,"  357,345.60 € ","  117,196.80 € ",  73.44 € 
C1418,Africa,Mali,Rice,Online,Critical,11/23/2021,141818320,11/29/2021,6047,  154.06 € ,  90.93 € ,"  931,600.82 € ","  549,853.71 € ",  63.13 € 
C4779,Africa,Burundi,Lemon,Online,High,1/31/2022,477993524,3/12/2022,7761,  81.73 € ,  56.67 € ,"  634,306.53 € ","  439,815.87 € ",  25.06 € 
C8598,Africa,Libya,Sorghum,Offline,High,7/11/2021,859830653,8/5/2021,1852,  109.28 € ,  35.84 € ,"  202,386.56 € ","  66,375.68 € ",  73.44 € 
C3420,Africa,Nigeria,Sorghum,Offline,Critical,8/26/2022,342066037,10/11/2022,3797,  109.28 € ,  35.84 € ,"  414,936.16 € ","  136,084.48 € ",  73.44 € 
C7497,Europe,Norway,Sunflower,Online,Critical,2/21/2021,749748504,3/16/2021,6098,  668.27 € ,  502.54 € ,"  4,075,110.46 € ","  3,064,488.92 € ",  165.73 € 
C8282,Africa,Kenya,Corn,Offline,Medium,8/30/2021,828239381,10/8/2021,3293,  437.20 € ,  263.33 € ,"  1,439,699.60 € ","  867,145.69 € ",  173.87 € 
C2932,Australia and Oceania,Papua New Guinea,Rice,Online,High,2/19/2022,293212497,3/9/2022,6948,  154.06 € ,  90.93 € ,"  1,070,408.88 € ","  631,781.64 € ",  63.13 € 
C2806,Asia,North Korea,Lemon,Offline,Low,11/17/2020,280654180,1/2/2021,663,  81.73 € ,  56.67 € ,"  54,186.99 € ","  37,572.21 € ",  25.06 € 
C1968,Europe,Montenegro,Sorghum,Offline,Medium,11/25/2020,196863257,1/9/2021,5067,  109.28 € ,  35.84 € ,"  553,721.76 € ","  181,601.28 € ",  73.44 € 
C8684,Europe,Norway,Orange,Offline,High,10/6/2022,868451058,10/8/2022,2822,  9.33 € ,  6.92 € ,"  26,329.26 € ","  19,528.24 € ",  2.41 € 
C4923,Africa,Lesotho,Sorghum,Offline,Low,4/7/2020,492341411,5/24/2020,3619,  109.28 € ,  35.84 € ,"  395,484.32 € ","  129,704.96 € ",  73.44 € 
C4857,Asia,Indonesia,Meat,Online,High,12/2/2021,485770642,12/15/2021,9183,  421.89 € ,  364.69 € ,"  3,874,215.87 € ","  3,348,948.27 € ",  57.20 € 
C5362,Africa,Iraq,Came,Online,High,11/28/2020,536287581,12/28/2020,8268,  47.45 € ,  31.79 € ,"  392,316.60 € ","  262,839.72 € ",  15.66 € 
C8517,Asia,Singapore,Oatmeal,Online,Critical,4/3/2022,851753556,5/12/2022,1660,  205.70 € ,  117.11 € ,"  341,462.00 € ","  194,402.60 € ",  88.59 € 
C8103,Asia,South Korea,Rice,Online,Medium,5/15/2021,810342395,5/31/2021,7177,  154.06 € ,  90.93 € ,"  1,105,688.62 € ","  652,604.61 € ",  63.13 € 
C3105,Africa,Lebanon,Sunflower,Online,Low,8/26/2022,310540425,9/1/2022,4668,  668.27 € ,  502.54 € ,"  3,119,484.36 € ","  2,345,856.72 € ",  165.73 € 
C2211,Asia,Myanmar,Orange,Online,High,11/23/2020,221146476,12/31/2020,1011,  9.33 € ,  6.92 € ,"  9,432.63 € ","  6,996.12 € ",  2.41 € 
C1312,Asia,Vietnam,Sorghum,Online,High,9/23/2022,131271874,9/27/2022,5120,  109.28 € ,  35.84 € ,"  559,513.60 € ","  183,500.80 € ",  73.44 € 
C6003,Africa,Jordan,Orange,Online,Low,4/25/2022,600340449,6/2/2022,2935,  9.33 € ,  6.92 € ,"  27,383.55 € ","  20,310.20 € ",  2.41 € 
C9080,Australia and Oceania,Palau,Fish,Offline,Low,10/20/2022,908088529,11/22/2022,2430,  651.21 € ,  524.96 € ,"  1,582,440.30 € ","  1,275,652.80 € ",  126.25 € 
C4045,Central America and Caribbean,Antigua and Barbuda ,Oatmeal,Offline,Critical,8/4/2020,404564940,8/28/2020,8611,  205.70 € ,  117.11 € ,"  1,771,282.70 € ","  1,008,434.21 € ",  88.59 € 
C7601,Australia and Oceania,Papua New Guinea,Lemon,Offline,Low,1/21/2021,760131013,1/28/2021,8513,  81.73 € ,  56.67 € ,"  695,767.49 € ","  482,431.71 € ",  25.06 € 
C1154,Central America and Caribbean,El Salvador,Sorghum,Offline,Medium,11/2/2022,115460574,11/19/2022,6205,  109.28 € ,  35.84 € ,"  678,082.40 € ","  222,387.20 € ",  73.44 € 
C7315,Africa,Republic of the Congo,Came,Offline,Low,2/8/2022,731539952,2/9/2022,7783,  47.45 € ,  31.79 € ,"  369,303.35 € ","  247,421.57 € ",  15.66 € 
C4396,Australia and Oceania,Vanuatu,Meat,Online,Critical,8/3/2022,439667975,9/21/2022,6379,  421.89 € ,  364.69 € ,"  2,691,236.31 € ","  2,326,357.51 € ",  57.20 € 
C2914,Asia,Bangladesh,Sorghum,Offline,Low,9/11/2022,291455972,9/16/2022,7154,  109.28 € ,  35.84 € ,"  781,789.12 € ","  256,399.36 € ",  73.44 € 
C5088,Africa,Burundi,Oatmeal,Offline,Low,9/1/2022,508827769,9/13/2022,2299,  205.70 € ,  117.11 € ,"  472,904.30 € ","  269,235.89 € ",  88.59 € 
C9340,Africa,South Sudan,Rice,Online,Medium,4/17/2020,934019696,5/7/2020,6039,  154.06 € ,  90.93 € ,"  930,368.34 € ","  549,126.27 € ",  63.13 € 
C5795,Africa,Mozambique,Came,Online,Low,11/25/2020,579580581,12/12/2020,9628,  47.45 € ,  31.79 € ,"  456,848.60 € ","  306,074.12 € ",  15.66 € 
C7783,Central America and Caribbean,Saint Kitts and Nevis ,Meat,Online,Critical,8/27/2021,778371751,9/3/2021,6353,  421.89 € ,  364.69 € ,"  2,680,267.17 € ","  2,316,875.57 € ",  57.20 € 
C2335,Africa,Rwanda,Rice,Offline,Medium,7/16/2021,233567035,8/17/2021,6531,  154.06 € ,  90.93 € ,"  1,006,165.86 € ","  593,863.83 € ",  63.13 € 
C8686,Africa,Rwanda,Came,Online,High,10/24/2022,868652760,12/8/2022,2510,  47.45 € ,  31.79 € ,"  119,099.50 € ","  79,792.90 € ",  15.66 € 
C1774,Europe,Moldova ,Rice,Offline,Low,12/23/2020,177427756,1/31/2021,3671,  154.06 € ,  90.93 € ,"  565,554.26 € ","  333,804.03 € ",  63.13 € 
C6740,Europe,Austria,Oatmeal,Offline,Low,7/10/2020,674003350,7/30/2020,1424,  205.70 € ,  117.11 € ,"  292,916.80 € ","  166,764.64 € ",  88.59 € 
C4428,Europe,Spain,Sorghum,Offline,Low,1/16/2022,442803370,2/18/2022,4212,  109.28 € ,  35.84 € ,"  460,287.36 € ","  150,958.08 € ",  73.44 € 
C7885,Asia,China,Soy,Online,Critical,10/27/2020,788564145,12/1/2020,2509,  255.28 € ,  159.42 € ,"  640,497.52 € ","  399,984.78 € ",  95.86 € 
C3863,Africa,Qatar,Corn,Online,Medium,7/21/2022,386334502,8/11/2022,3819,  437.20 € ,  263.33 € ,"  1,669,666.80 € ","  1,005,657.27 € ",  173.87 € 
C2314,Europe,Georgia,Lemon,Online,Critical,11/22/2021,231475770,11/23/2021,7679,  81.73 € ,  56.67 € ,"  627,604.67 € ","  435,168.93 € ",  25.06 € 
C4896,Asia,Kazakhstan,Sunflower,Online,Medium,1/18/2021,489661777,2/11/2021,656,  668.27 € ,  502.54 € ,"  438,385.12 € ","  329,666.24 € ",  165.73 € 
C9468,Africa,Namibia,Lemon,Offline,Low,8/18/2022,946878850,10/5/2022,1348,  81.73 € ,  56.67 € ,"  110,172.04 € ","  76,391.16 € ",  25.06 € 
C5594,Central America and Caribbean,Jamaica,Meat,Offline,Low,7/1/2022,559425818,7/23/2022,5386,  421.89 € ,  364.69 € ,"  2,272,299.54 € ","  1,964,220.34 € ",  57.20 € 
C6039,Africa,Syria,Rice,Offline,Medium,8/22/2022,603914010,9/1/2022,431,  154.06 € ,  90.93 € ,"  66,399.86 € ","  39,190.83 € ",  63.13 € 
C6272,Africa,Tanzania,Orange,Offline,Critical,2/24/2021,627267253,3/8/2021,1174,  9.33 € ,  6.92 € ,"  10,953.42 € ","  8,124.08 € ",  2.41 € 
C6967,Africa,Angola,Soy,Online,High,4/1/2022,696721875,5/12/2022,4340,  255.28 € ,  159.42 € ,"  1,107,915.20 € ","  691,882.80 € ",  95.86 € 
C9498,Asia,China,Lemon,Offline,Low,7/18/2020,949826705,9/6/2020,3684,  81.73 € ,  56.67 € ,"  301,093.32 € ","  208,772.28 € ",  25.06 € 
C2444,Europe,Hungary,Lemon,Offline,Low,6/30/2022,244443070,7/3/2022,4991,  81.73 € ,  56.67 € ,"  407,914.43 € ","  282,839.97 € ",  25.06 € 
C2087,Europe,Norway,Sunflower,Offline,High,1/29/2022,208744800,2/3/2022,1080,  668.27 € ,  502.54 € ,"  721,731.60 € ","  542,743.20 € ",  165.73 € 
C2912,Australia and Oceania,Australia,Meat,Offline,Critical,4/9/2022,291218221,5/2/2022,6798,  421.89 € ,  364.69 € ,"  2,868,008.22 € ","  2,479,162.62 € ",  57.20 € 
C9106,Africa,Nigeria,Sunflower,Offline,Medium,2/22/2022,910662162,3/5/2022,4025,  668.27 € ,  502.54 € ,"  2,689,786.75 € ","  2,022,723.50 € ",  165.73 € 
C3061,Asia,Thailand,Fish,Online,Medium,3/9/2021,306187951,4/17/2021,6674,  651.21 € ,  524.96 € ,"  4,346,175.54 € ","  3,503,583.04 € ",  126.25 € 
C3872,Asia,Taiwan,Orange,Offline,High,9/16/2020,387219417,9/27/2020,5685,  9.33 € ,  6.92 € ,"  53,041.05 € ","  39,340.20 € ",  2.41 € 
C8834,Asia,India,Rice,Online,Low,6/5/2022,883492887,6/5/2022,4033,  154.06 € ,  90.93 € ,"  621,323.98 € ","  366,720.69 € ",  63.13 € 
C6950,Europe,Romania,Came,Offline,Low,4/24/2021,695057189,5/8/2021,1723,  47.45 € ,  31.79 € ,"  81,756.35 € ","  54,774.17 € ",  15.66 € 
C1422,Australia and Oceania,East Timor,Corn,Online,Low,4/23/2021,142273652,5/16/2021,790,  437.20 € ,  263.33 € ,"  345,388.00 € ","  208,030.70 € ",  173.87 € 
C5158,Europe,Bosnia and Herzegovina,Oatmeal,Online,Low,6/28/2022,515816104,8/6/2022,303,  205.70 € ,  117.11 € ,"  62,327.10 € ","  35,484.33 € ",  88.59 € 
C9266,Europe,Ireland,Lemon,Offline,Low,6/14/2022,926670873,7/17/2022,1359,  81.73 € ,  56.67 € ,"  111,071.07 € ","  77,014.53 € ",  25.06 € 
C5561,Europe,Croatia,Sunflower,Online,Low,8/19/2020,556136786,9/5/2020,2089,  668.27 € ,  502.54 € ,"  1,396,016.03 € ","  1,049,806.06 € ",  165.73 € 
C9058,Africa,Iraq,Soy,Online,Low,8/6/2022,905825173,8/22/2022,2653,  255.28 € ,  159.42 € ,"  677,257.84 € ","  422,941.26 € ",  95.86 € 
C8476,Europe,Malta,Fish,Online,Critical,6/7/2021,847659862,7/22/2021,245,  651.21 € ,  524.96 € ,"  159,546.45 € ","  128,615.20 € ",  126.25 € 
C6738,Europe,Ireland,Meat,Offline,Low,1/26/2022,673877179,2/21/2022,4087,  421.89 € ,  364.69 € ,"  1,724,264.43 € ","  1,490,488.03 € ",  57.20 € 
C7470,Africa,Madagascar,Soy,Online,Low,9/14/2022,747025954,10/12/2022,435,  255.28 € ,  159.42 € ,"  111,046.80 € ","  69,347.70 € ",  95.86 € 
C1499,Europe,Austria,Corn,Online,Medium,12/1/2021,149967515,12/27/2021,7575,  437.20 € ,  263.33 € ,"  3,311,790.00 € ","  1,994,724.75 € ",  173.87 € 
C7358,Africa,Sierra Leone,Lemon,Offline,Critical,2/17/2020,735875689,3/25/2020,824,  81.73 € ,  56.67 € ,"  67,345.52 € ","  46,696.08 € ",  25.06 € 
C3782,Europe,Netherlands,Fish,Online,Critical,1/9/2021,378236806,2/18/2021,7531,  651.21 € ,  524.96 € ,"  4,904,262.51 € ","  3,953,473.76 € ",  126.25 € 
C6208,Europe,Croatia,Corn,Offline,High,7/15/2021,620849692,7/18/2021,2075,  437.20 € ,  263.33 € ,"  907,190.00 € ","  546,409.75 € ",  173.87 € 
C8278,Central America and Caribbean,Trinidad and Tobago,Flour,Offline,Low,11/11/2021,827825677,11/19/2021,869,  152.58 € ,  97.44 € ,"  132,592.02 € ","  84,675.36 € ",  55.14 € 
C4335,Asia,South Korea,Sunflower,Offline,Critical,3/5/2021,433588588,3/28/2021,7353,  668.27 € ,  502.54 € ,"  4,913,789.31 € ","  3,695,176.62 € ",  165.73 € 
C2928,Australia and Oceania,Samoa ,Meat,Offline,High,11/24/2021,292874753,12/25/2021,7003,  421.89 € ,  364.69 € ,"  2,954,495.67 € ","  2,553,924.07 € ",  57.20 € 
C4307,Europe,Albania,Fish,Offline,Low,7/31/2022,430733001,8/2/2022,2322,  651.21 € ,  524.96 € ,"  1,512,109.62 € ","  1,218,957.12 € ",  126.25 € 
C4925,Africa,Cape Verde,Orange,Online,Medium,3/3/2022,492524659,3/25/2022,7846,  9.33 € ,  6.92 € ,"  73,203.18 € ","  54,294.32 € ",  2.41 € 
C1939,Europe,Italy,Came,Online,Low,6/9/2021,193923556,6/20/2021,5145,  47.45 € ,  31.79 € ,"  244,130.25 € ","  163,559.55 € ",  15.66 € 
C6709,Europe,Hungary,Came,Offline,Low,7/26/2021,670916020,8/2/2021,7815,  47.45 € ,  31.79 € ,"  370,821.75 € ","  248,438.85 € ",  15.66 € 
C4298,Asia,Maldives,Soy,Offline,Critical,9/17/2022,429800879,10/19/2022,6486,  255.28 € ,  159.42 € ,"  1,655,746.08 € ","  1,033,998.12 € ",  95.86 € 
C2971,Africa,Mali,Sunflower,Offline,High,7/25/2022,297189462,8/19/2022,3821,  668.27 € ,  502.54 € ,"  2,553,459.67 € ","  1,920,205.34 € ",  165.73 € 
C2700,Africa,Yemen,Lemon,Online,Medium,8/26/2020,270005595,9/4/2020,9511,  81.73 € ,  56.67 € ,"  777,334.03 € ","  538,988.37 € ",  25.06 € 
C8654,Asia,North Korea,Flour,Offline,Low,8/15/2022,865485608,9/10/2022,5279,  152.58 € ,  97.44 € ,"  805,469.82 € ","  514,385.76 € ",  55.14 € 
C8711,Asia,Uzbekistan,Oatmeal,Offline,High,8/28/2021,871178328,8/28/2021,9882,  205.70 € ,  117.11 € ,"  2,032,727.40 € ","  1,157,281.02 € ",  88.59 € 
C4949,Europe,Latvia,Rice,Online,Low,10/12/2022,494945085,11/6/2022,4104,  154.06 € ,  90.93 € ,"  632,262.24 € ","  373,176.72 € ",  63.13 € 
C9149,Asia,Singapore,Flour,Offline,Critical,5/29/2021,914959704,6/24/2021,5764,  152.58 € ,  97.44 € ,"  879,471.12 € ","  561,644.16 € ",  55.14 € 
C2297,Europe,Lithuania,Sunflower,Online,Low,12/7/2021,229708516,1/23/2022,4709,  668.27 € ,  502.54 € ,"  3,146,883.43 € ","  2,366,460.86 € ",  165.73 € 
C2079,Africa,Senegal,Came,Offline,High,1/4/2022,207990348,1/20/2022,7821,  47.45 € ,  31.79 € ,"  371,106.45 € ","  248,629.59 € ",  15.66 € 
C4389,Africa,South Sudan,Rice,Offline,Critical,7/20/2022,438916528,8/18/2022,4009,  154.06 € ,  90.93 € ,"  617,626.54 € ","  364,538.37 € ",  63.13 € 
C5819,Europe,Bulgaria,Soy,Online,High,7/30/2020,581910884,8/16/2020,9217,  255.28 € ,  159.42 € ,"  2,352,915.76 € ","  1,469,374.14 € ",  95.86 € 
C8167,Africa,Seychelles ,Meat,Offline,High,2/4/2022,816709744,3/1/2022,1417,  421.89 € ,  364.69 € ,"  597,818.13 € ","  516,765.73 € ",  57.20 € 
C4933,Central America and Caribbean,Saint Kitts and Nevis ,Sunflower,Online,High,8/24/2020,493361937,9/29/2020,5616,  668.27 € ,  502.54 € ,"  3,753,004.32 € ","  2,822,264.64 € ",  165.73 € 
C3822,Central America and Caribbean,Saint Vincent and the Grenadines,Soy,Offline,High,8/10/2021,382228791,9/26/2021,8848,  255.28 € ,  159.42 € ,"  2,258,717.44 € ","  1,410,548.16 € ",  95.86 € 
C4239,Europe,Andorra,Corn,Offline,Low,10/2/2020,423984134,11/14/2020,5182,  437.20 € ,  263.33 € ,"  2,265,570.40 € ","  1,364,576.06 € ",  173.87 € 
C1796,Africa,Mali,Meat,Offline,Critical,11/3/2022,179614293,11/23/2022,716,  421.89 € ,  364.69 € ,"  302,073.24 € ","  261,118.04 € ",  57.20 € 
C1804,Africa,Togo,Lemon,Offline,Medium,2/26/2020,180418097,3/15/2020,8579,  81.73 € ,  56.67 € ,"  701,161.67 € ","  486,171.93 € ",  25.06 € 
C5780,Asia,Thailand,Meat,Offline,High,7/17/2022,578006875,8/21/2022,3934,  421.89 € ,  364.69 € ,"  1,659,715.26 € ","  1,434,690.46 € ",  57.20 € 
C6943,Europe,Moldova ,Sunflower,Online,High,9/1/2021,694304454,9/9/2021,8972,  668.27 € ,  502.54 € ,"  5,995,718.44 € ","  4,508,788.88 € ",  165.73 € 
C3715,Central America and Caribbean,Trinidad and Tobago,Soy,Online,High,1/14/2021,371547162,2/23/2021,7917,  255.28 € ,  159.42 € ,"  2,021,051.76 € ","  1,262,128.14 € ",  95.86 € 
C4222,Asia,Japan,Came,Online,Medium,4/6/2020,422283828,4/26/2020,2024,  47.45 € ,  31.79 € ,"  96,038.80 € ","  64,342.96 € ",  15.66 € 
C3793,Africa,Central African Republic,Oatmeal,Offline,Critical,3/23/2022,379375779,3/23/2022,4578,  205.70 € ,  117.11 € ,"  941,694.60 € ","  536,129.58 € ",  88.59 € 
C7459,Africa,Azerbaijan,Lemon,Online,Low,3/11/2020,745996844,4/3/2020,5899,  81.73 € ,  56.67 € ,"  482,125.27 € ","  334,296.33 € ",  25.06 € 
C7456,Africa,Mauritania,Orange,Offline,Low,2/20/2022,745633351,4/3/2022,8333,  9.33 € ,  6.92 € ,"  77,746.89 € ","  57,664.36 € ",  2.41 € 
C5720,Europe,Portugal,Flour,Offline,Medium,9/16/2020,572084128,11/5/2020,1261,  152.58 € ,  97.44 € ,"  192,403.38 € ","  122,871.84 € ",  55.14 € 
C9394,Africa,Liberia,Came,Online,Low,5/22/2020,939460504,5/24/2020,6095,  47.45 € ,  31.79 € ,"  289,207.75 € ","  193,760.05 € ",  15.66 € 
C8321,Africa,South Sudan,Orange,Online,High,10/12/2021,832186305,11/26/2021,1276,  9.33 € ,  6.92 € ,"  11,905.08 € ","  8,829.92 € ",  2.41 € 
C6549,Africa,Cameroon,Orange,Online,Low,2/28/2020,654997861,4/2/2020,7277,  9.33 € ,  6.92 € ,"  67,894.41 € ","  50,356.84 € ",  2.41 € 
C8829,Central America and Caribbean,Cuba,Meat,Online,Low,3/23/2021,882943999,4/7/2021,1605,  421.89 € ,  364.69 € ,"  677,133.45 € ","  585,327.45 € ",  57.20 € 
C7113,Africa,Malawi,Orange,Online,Low,6/27/2022,711386048,8/15/2022,3795,  9.33 € ,  6.92 € ,"  35,407.35 € ","  26,261.40 € ",  2.41 € 
C3059,Australia and Oceania,Tuvalu,Came,Offline,Low,6/9/2020,305997836,7/10/2020,415,  47.45 € ,  31.79 € ,"  19,691.75 € ","  13,192.85 € ",  15.66 € 
C3527,Africa,Burundi,Meat,Offline,High,7/19/2020,352765691,8/11/2020,62,  421.89 € ,  364.69 € ,"  26,157.18 € ","  22,610.78 € ",  57.20 € 
C7079,Africa,Liberia,Rice,Online,Critical,7/15/2021,707988440,8/8/2021,8367,  154.06 € ,  90.93 € ,"  1,289,020.02 € ","  760,811.31 € ",  63.13 € 
C8482,Asia,Turkmenistan,Rice,Offline,Medium,7/13/2022,848277413,8/29/2022,2992,  154.06 € ,  90.93 € ,"  460,947.52 € ","  272,062.56 € ",  63.13 € 
C3205,Africa,Uganda,Sunflower,Online,Medium,8/16/2021,320556437,9/25/2021,8628,  668.27 € ,  502.54 € ,"  5,765,833.56 € ","  4,335,915.12 € ",  165.73 € 
C9920,Africa,Lebanon,Soy,Online,High,3/6/2020,992061841,3/24/2020,1999,  255.28 € ,  159.42 € ,"  510,304.72 € ","  318,680.58 € ",  95.86 € 
C3003,Europe,Switzerland,Fish,Online,Medium,5/20/2021,300342452,6/24/2021,6861,  651.21 € ,  524.96 € ,"  4,467,951.81 € ","  3,601,750.56 € ",  126.25 € 
C7032,Africa,Kuwait,Rice,Online,High,4/2/2020,703259599,4/5/2020,8998,  154.06 € ,  90.93 € ,"  1,386,231.88 € ","  818,188.14 € ",  63.13 € 
C2289,Asia,India,Sorghum,Offline,High,3/17/2022,228987109,4/14/2022,1229,  109.28 € ,  35.84 € ,"  134,305.12 € ","  44,047.36 € ",  73.44 € 
C1260,Africa,Angola,Oatmeal,Online,Critical,8/22/2021,126011312,9/18/2021,8402,  205.70 € ,  117.11 € ,"  1,728,291.40 € ","  983,958.22 € ",  88.59 € 
C8131,Asia,Uzbekistan,Came,Offline,Critical,6/28/2020,813131034,7/1/2020,2397,  47.45 € ,  31.79 € ,"  113,737.65 € ","  76,200.63 € ",  15.66 € 
C5294,Europe,Latvia,Lemon,Offline,Critical,2/5/2021,529457604,3/5/2021,7126,  81.73 € ,  56.67 € ,"  582,407.98 € ","  403,830.42 € ",  25.06 € 
C2844,Africa,Ghana,Meat,Offline,Medium,12/2/2021,284414851,12/7/2021,3530,  421.89 € ,  364.69 € ,"  1,489,271.70 € ","  1,287,355.70 € ",  57.20 € 
C7077,Europe,Poland,Came,Online,Critical,10/22/2021,707739102,10/28/2021,4583,  47.45 € ,  31.79 € ,"  217,463.35 € ","  145,693.57 € ",  15.66 € 
C6994,Asia,Mongolia,Corn,Online,Low,6/15/2021,699479186,7/25/2021,290,  437.20 € ,  263.33 € ,"  126,788.00 € ","  76,365.70 € ",  173.87 € 
C5799,Asia,Vietnam,Oatmeal,Online,Critical,12/13/2021,579996430,1/9/2022,2687,  205.70 € ,  117.11 € ,"  552,715.90 € ","  314,674.57 € ",  88.59 € 
C7399,Europe,United Kingdom,Oatmeal,Online,Low,6/29/2020,739964663,7/27/2020,842,  205.70 € ,  117.11 € ,"  173,199.40 € ","  98,606.62 € ",  88.59 € 
C2903,Australia and Oceania,Vanuatu,Sorghum,Offline,Low,5/31/2020,290370213,6/15/2020,5854,  109.28 € ,  35.84 € ,"  639,725.12 € ","  209,807.36 € ",  73.44 € 
C2125,Africa,Ethiopia,Orange,Online,Low,2/22/2021,212511909,2/22/2021,5851,  9.33 € ,  6.92 € ,"  54,589.83 € ","  40,488.92 € ",  2.41 € 
C2080,Africa,Niger,Orange,Online,Critical,7/13/2022,208001077,7/22/2022,996,  9.33 € ,  6.92 € ,"  9,292.68 € ","  6,892.32 € ",  2.41 € 
C9487,Africa,Central African Republic,Lemon,Offline,High,7/9/2020,948761546,7/13/2020,8480,  81.73 € ,  56.67 € ,"  693,070.40 € ","  480,561.60 € ",  25.06 € 
C9270,Africa,Cape Verde,Flour,Offline,Critical,1/18/2020,927029645,1/29/2020,7527,  152.58 € ,  97.44 € ,"  1,148,469.66 € ","  733,430.88 € ",  55.14 € 
